id,GeoAreaName,ZCTA5,TotalHouseholds_Below10k,TotalHouseholds_10to15k,TotalHouseholds_15to25k,TotalHouseholds_25to35k,TotalHouseholds_35to50k,TotalHouseholds_50to75k,TotalHouseholds_75to100k,TotalHouseholds_100to150k,TotalHouseholds_150to200k,TotalHouseholds_Over200k,TotalHouseholds
8600000US35004,ZCTA5 35004,35004,198,71,298,513,647,1117,529,945,245,61,4624
8600000US35005,ZCTA5 35005,35005,188,184,318,293,353,562,299,407,67,26,2697
8600000US35006,ZCTA5 35006,35006,71,20,117,104,154,176,124,194,51,7,1018
8600000US35007,ZCTA5 35007,35007,396,208,670,462,1173,1854,1578,2224,473,254,9292
8600000US35010,ZCTA5 35010,35010,700,610,1093,957,1056,1512,807,749,254,249,7987
8600000US35013,ZCTA5 35013,35013,17,0,0,0,0,0,0,0,0,0,17
8600000US35014,ZCTA5 35014,35014,108,205,105,291,185,257,204,236,26,38,1655
8600000US35016,ZCTA5 35016,35016,471,322,1080,630,1004,912,894,665,311,207,6496
8600000US35019,ZCTA5 35019,35019,50,16,245,88,119,147,122,33,84,3,907
8600000US35020,ZCTA5 35020,35020,1539,1091,1791,1309,1254,1531,877,493,139,64,10088
8600000US35022,ZCTA5 35022,35022,346,388,488,1061,1212,1617,1135,1464,681,188,8580
8600000US35023,ZCTA5 35023,35023,394,374,527,1132,1452,1731,1200,1073,330,144,8357
8600000US35031,ZCTA5 35031,35031,309,136,262,426,350,570,342,199,87,125,2806
8600000US35032,ZCTA5 35032,35032,0,0,2,8,2,1,2,0,0,0,15
8600000US35033,ZCTA5 35033,35033,65,39,109,187,159,265,127,104,33,42,1130
8600000US35034,ZCTA5 35034,35034,183,72,184,115,254,147,95,117,30,0,1197
8600000US35035,ZCTA5 35035,35035,19,0,36,73,58,26,21,51,23,27,334
8600000US35036,ZCTA5 35036,35036,5,32,19,8,16,8,0,0,0,0,88
8600000US35040,ZCTA5 35040,35040,220,227,556,462,875,1340,969,1269,205,62,6185
8600000US35042,ZCTA5 35042,35042,206,172,259,169,282,515,358,231,34,104,2330
8600000US35043,ZCTA5 35043,35043,35,23,162,185,381,573,623,1268,517,235,4002
8600000US35044,ZCTA5 35044,35044,357,224,449,385,498,551,267,322,13,25,3091
8600000US35045,ZCTA5 35045,35045,510,511,774,686,678,959,710,682,217,188,5915
8600000US35046,ZCTA5 35046,35046,168,92,247,184,274,476,327,207,63,22,2060
8600000US35049,ZCTA5 35049,35049,76,113,173,176,200,175,256,139,60,8,1376
8600000US35051,ZCTA5 35051,35051,266,269,349,299,476,614,442,433,131,173,3452
8600000US35052,ZCTA5 35052,35052,0,0,0,23,0,0,0,0,0,0,23
8600000US35053,ZCTA5 35053,35053,55,16,67,158,97,114,204,115,30,36,892
8600000US35054,ZCTA5 35054,35054,88,172,402,127,207,336,164,264,83,88,1931
8600000US35055,ZCTA5 35055,35055,601,508,943,775,1323,1600,801,837,271,179,7838
8600000US35057,ZCTA5 35057,35057,203,182,558,455,1103,1018,618,505,271,64,4977
8600000US35058,ZCTA5 35058,35058,264,231,504,445,469,493,426,303,142,169,3446
8600000US35060,ZCTA5 35060,35060,0,22,52,31,0,27,0,0,0,0,132
8600000US35061,ZCTA5 35061,35061,36,49,13,62,86,76,22,65,0,8,417
8600000US35062,ZCTA5 35062,35062,161,176,324,342,478,535,402,472,86,73,3049
8600000US35063,ZCTA5 35063,35063,96,108,112,153,104,231,227,206,19,8,1264
8600000US35064,ZCTA5 35064,35064,385,586,525,494,973,1089,171,306,21,31,4581
8600000US35068,ZCTA5 35068,35068,132,133,268,328,476,867,443,502,183,47,3379
8600000US35070,ZCTA5 35070,35070,9,8,6,28,21,15,2,7,0,7,103
8600000US35071,ZCTA5 35071,35071,382,263,212,717,735,1108,961,1142,465,343,6328
8600000US35072,ZCTA5 35072,35072,137,180,239,193,306,332,192,54,45,22,1700
8600000US35073,ZCTA5 35073,35073,62,65,116,106,125,148,111,58,24,11,826
8600000US35074,ZCTA5 35074,35074,0,0,0,0,0,0,53,0,0,0,53
8600000US35077,ZCTA5 35077,35077,609,334,803,600,805,833,682,409,80,107,5262
8600000US35078,ZCTA5 35078,35078,66,3,104,56,92,131,80,122,30,49,733
8600000US35079,ZCTA5 35079,35079,106,131,230,402,389,581,542,443,173,61,3058
8600000US35080,ZCTA5 35080,35080,138,198,236,240,576,1261,1073,1669,571,412,6374
8600000US35083,ZCTA5 35083,35083,229,72,147,181,193,218,120,96,15,2,1273
8600000US35085,ZCTA5 35085,35085,314,163,413,481,381,490,481,311,74,83,3191
8600000US35087,ZCTA5 35087,35087,142,96,127,163,157,91,142,30,15,17,980
8600000US35089,ZCTA5 35089,35089,46,120,115,175,59,125,124,16,23,0,803
8600000US35091,ZCTA5 35091,35091,17,29,49,93,89,196,176,297,95,33,1074
8600000US35094,ZCTA5 35094,35094,190,246,567,400,849,1105,767,920,377,225,5646
8600000US35096,ZCTA5 35096,35096,249,100,183,248,471,749,550,376,123,62,3111
8600000US35097,ZCTA5 35097,35097,57,12,83,46,148,113,66,77,22,7,631
8600000US35098,ZCTA5 35098,35098,15,19,125,58,43,26,67,62,13,0,428
8600000US35111,ZCTA5 35111,35111,163,100,386,410,672,1219,932,1206,470,207,5765
8600000US35112,ZCTA5 35112,35112,0,0,0,0,0,76,0,48,0,0,124
8600000US35114,ZCTA5 35114,35114,55,49,116,137,496,493,342,866,223,205,2982
8600000US35115,ZCTA5 35115,35115,499,398,895,552,637,1106,661,601,52,58,5459
8600000US35116,ZCTA5 35116,35116,78,55,72,132,314,288,301,313,87,49,1689
8600000US35117,ZCTA5 35117,35117,176,18,80,203,205,426,302,445,247,55,2157
8600000US35118,ZCTA5 35118,35118,106,43,105,104,101,321,178,172,33,29,1192
8600000US35119,ZCTA5 35119,35119,61,0,0,0,0,28,0,0,0,0,89
8600000US35120,ZCTA5 35120,35120,225,99,146,496,536,1321,943,801,206,51,4824
8600000US35121,ZCTA5 35121,35121,507,353,813,681,997,1141,580,499,322,121,6014
8600000US35124,ZCTA5 35124,35124,338,204,570,560,1098,1723,1463,2012,809,805,9582
8600000US35125,ZCTA5 35125,35125,458,315,546,343,516,893,319,493,112,100,4095
8600000US35126,ZCTA5 35126,35126,299,328,412,669,908,1571,1308,1455,396,216,7562
8600000US35127,ZCTA5 35127,35127,148,45,182,272,427,836,497,811,278,114,3610
8600000US35128,ZCTA5 35128,35128,262,109,385,332,619,849,558,719,282,179,4294
8600000US35130,ZCTA5 35130,35130,138,93,232,129,184,238,166,97,8,6,1291
8600000US35131,ZCTA5 35131,35131,105,94,271,209,172,225,204,101,72,50,1503
8600000US35133,ZCTA5 35133,35133,173,86,93,83,174,290,128,113,43,38,1221
8600000US35135,ZCTA5 35135,35135,19,56,80,54,191,198,90,117,66,23,894
8600000US35136,ZCTA5 35136,35136,70,49,117,121,106,98,64,49,90,20,784
8600000US35139,ZCTA5 35139,35139,35,16,37,8,0,12,0,0,0,0,108
8600000US35143,ZCTA5 35143,35143,48,11,131,187,85,214,186,252,65,20,1199
